conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1965731981934854272,Wed Sep 10 11:00:00 +0000 2025,3,Menkeu Purbaya Yudhi Sadewa yang baru dilantik viral setelah menyebut tuntutan 17+8 merupakan suara sebagian kecil rakyat. Purbaya memberi penjelasan soal ucapannya tersebut. Menkeu Purbaya meminta maaf atas ucapannya. Ia berjanji pemerintah akan memulihkan kondisi ekonomi salah https://t.co/eb4sNruuQI,1965731981934854272,https://pbs.twimg.com/amplify_video_thumb/1965716576600248320/img/1XSYIOE_CReyp6ZU.jpg,,in,,3,6,0,https://x.com/undefined/status/1965731981934854272,57261519,
1965706896897425855,Wed Sep 10 09:20:19 +0000 2025,160,Ratusan mahasiswa dari beberapa universitas kembali melakukan aksi penyampaian pendapat di depan Gedung DPR Selasa siang. Demonstrasi yang bertajuk Rakyat Tagih Janji ini menekankan desakan kepada DPR RI terkait 17+8 tuntutan rakyat yang ramai disuarakan di media sosial. Para https://t.co/D8rKWFH5a0,1965706896897425855,https://pbs.twimg.com/amplify_video_thumb/1965687694354513922/img/XyQ4QbtaFGz8KT2I.jpg,,in,,0,6,41,https://x.com/undefined/status/1965706896897425855,55507370,
1965338390976692589,Tue Sep 09 08:56:01 +0000 2025,65,Perwakilan mahasiswa dari BEM UI berorasi di depan Gedung DPR RI membawa seruan aksi #RakyatTagihJanji. Selain melayangkan kritik terhadap penyelesaian tuntutan 17+8 mahasiswa juga mengkritik Tindakan kekerasan aparat dan kasus korupsi di pemerintah. Video Jurnalis: Rega Al https://t.co/5p0TvEd4Zv,1965338390976692589,https://pbs.twimg.com/amplify_video_thumb/1965338117403279361/img/2NplPfHa04orRpAH.jpg,,in,,1,5,23,https://x.com/undefined/status/1965338390976692589,23343960,
1966751140957356534,Sat Sep 13 06:29:47 +0000 2025,3,Tuntutan 17+8; Kok Tak Ada Tuntutan Ganti Wapres &amp; Ijasah Jokowi #tuntutanrakyat #tuntutan17plus8 #bem #Mahasiswa #demo #gantiwapres #gibran #ijazah #jokowi #ijazahjokowi https://t.co/D1NTj1D54p https://t.co/2VpNj8dGSV,1966751140957356534,https://pbs.twimg.com/media/G0tNbZdbcAQzBFa.png,,in,,0,0,0,https://x.com/undefined/status/1966751140957356534,1899398008418217984,
1962361386916577303,Thu Sep 11 07:42:43 +0000 2025,0,@Mirulashraff27 @IndoPopBase 17+8 Tuntutan Rakyat adalah daftar aspirasi dari aktivis pro-demokrasi Indonesia selama demo Agustus 2025. Terdiri dari 17 tuntutan mendesak (deadline 5 Sept 2025) dan 8 jangka panjang (hingga 31 Agt 2026) meliputi reformasi DPR polisi TNI transparansi dan hak asasi. Status,1966044720959992136,,Mirulashraff27,in,,0,0,0,https://x.com/undefined/status/1966044720959992136,1720665183188922368,
1966408436792570026,Fri Sep 12 07:48:04 +0000 2025,0,Namun dari sejumlah respons DPR menghadapi 17+8 tuntutan rakyat tersebut tidak ada perubahan atau revisi terkait kebijakan pensiun. #RisetLitbang #LitbangKompas #AdadiKompas https://t.co/JxOm44FWUf,1966408455897624939,https://pbs.twimg.com/media/G0oVDq4bIAAyRZY.jpg,KompasData,in,,0,1,0,https://x.com/undefined/status/1966408455897624939,771030588,
1966861940741074996,Sat Sep 13 13:50:03 +0000 2025,0,KALAU DPR BUKAN KORUPTOR MUSUH RAKYAT SEGERALAH PENUHI 17+8 TUNTUTAN RAKYAT DEMI IBU PERTIWI SEHAT KEMBALI. https://t.co/yRev3mn9t6,1966861940741074996,,,in,,0,0,0,https://x.com/undefined/status/1966861940741074996,48629595,
1966003111295856929,Thu Sep 11 04:57:22 +0000 2025,1,17 + 8 TUNTUTAN RAKYAT OK NAMUN JANGAN LUPA ... LUR YANG UTAMA/POKOK nya. - TANGKAP &amp; ADILI @jokowi - Makzulkan @gibran_tweet - Ganti Kapolri - Bersihkan Pemerintahan Dari KKN TERMUL - Berikan Pendidikan Kesehatan Gratis dan Berkualitas Untuk Seluruh Rakyat. ️️,1966003111295856929,,,in,,0,0,0,https://x.com/undefined/status/1966003111295856929,1725800944078917632,
1967121257683653046,Sun Sep 14 07:00:29 +0000 2025,46,Tak Ada Adili Jokowi dan Makzulkan Gibran dalam 17+8 Tuntutan Rakyat Siapa di Baliknya? https://t.co/P3vDhK2GK7,1967121257683653046,,,in,,1,4,35,https://x.com/undefined/status/1967121257683653046,887743587579944960,
1966399474961674351,Fri Sep 12 07:12:23 +0000 2025,0,Tuntutan 17+8 Dipertanyakan Ini Agenda Siapa? | Jurnal KBA. Aksi demonstrasi dengan membawa 17+8 Tuntutan Rakyat dinilai memiliki dinamika politik yang lebih kompleks dibandingkan sekadar gerakan moral masyarakat sipil https://t.co/Ih4MlVOpwd (Semoga Beemanfaat dan Share),1966399474961674351,,,in,,0,0,0,https://x.com/undefined/status/1966399474961674351,1866478058582257664,
1966383431010627975,Fri Sep 12 06:08:38 +0000 2025,23,Uskup Agung Jakarta Kardinal Ignatius Suharyo menyarankan Sekretaris Negara maupun juru bicara pemerintah untuk meng-update tuntutan rakyat yang berisi 17+8 poin pascademo yang pecah pada Senin (25/8/2025) hingga akhir Agustus 2025. Klik untuk baca: https://t.co/Rcg2w05HWQ | https://t.co/hNnJ6GyRsC,1966383431010627975,https://pbs.twimg.com/media/G0n_RKqa4AEzcKX.jpg,,in,,0,0,6,https://x.com/undefined/status/1966383431010627975,23343960,
1966395765087154241,Fri Sep 12 06:57:38 +0000 2025,0,dan botol gw balik,1966395765087154241,,,in,,0,0,0,https://x.com/undefined/status/1966395765087154241,1217993854386728960,
1967205997711372457,Sun Sep 14 12:37:13 +0000 2025,19,Kalau nurutku sepertinya keduanya yg pertama perombakan krn kerusuhan dan tuntutan 17+8. yg kedua pengaruh mantan anak buahnya jokowi. senin menang. https://t.co/QiqOA1rv8Y,1967205997711372457,https://pbs.twimg.com/media/G0zqPCmbUAENG14.png,,in,,0,3,7,https://x.com/undefined/status/1967205997711372457,3797534720,
1965599955890184414,Wed Sep 10 02:15:23 +0000 2025,1,Mahasiswa Siap Gelar Aksi Besar #RakyatTagihJanji di DPR Usung 17+8 Tuntutan Rakyat Badan Eksekutif Mahasiswa Universitas Indonesia (BEM UI) bersama berbagai elemen masyarakat akan menggelar aksi besar bertajuk #RakyatTagihJanji di depan Gedung DPR/MPR Jakarta Pusat. https://t.co/mfOW0gz74a,1965599955890184414,https://pbs.twimg.com/media/G0c2u-TbgAIdu7X.jpg,,in,,0,0,0,https://x.com/undefined/status/1965599955890184414,1905086631276912640,
1966321718303367277,Fri Sep 12 12:53:12 +0000 2025,0,@romedal21 @Mdy_Asmara1701 Salsa Erwina Hutagalung adalah aktivis muda dan diaspora Indonesia di Aarhus Denmark. Dia dikenal sebagai content creator yang vokal mengkritik DPR dan politisi seperti Ahmad Sahroni (NasDem) melalui gerakan 17+8 Tuntutan Rakyat pada Agustus 2025. Tidak ada data yang,1966485244695199978,,romedal21,in,,0,1,0,https://x.com/undefined/status/1966485244695199978,1720665183188922368,
